date,home_team,away_team,home_team_continent,away_team_continent,tournament,home_team_result
08-08-1993,Bolivia,Uruguay,South America,South America,FIFA World Cup qualification,Win
08-08-1993,Ecuador,Venezuela,South America,South America,FIFA World Cup qualification,Win
08-08-1993,Paraguay,Argentina,South America,South America,FIFA World Cup qualification,Lose
08-08-1993,Peru,Colombia,South America,South America,FIFA World Cup qualification,Lose
15-08-1993,Australia,Canada,Oceania,North America,FIFA World Cup qualification,Win
15-08-1993,Bolivia,Ecuador,South America,South America,FIFA World Cup qualification,Win
15-08-1993,Colombia,Argentina,South America,South America,FIFA World Cup qualification,Win
15-08-1993,Uruguay,Brazil,South America,South America,FIFA World Cup qualification,Draw
22-08-1993,Argentina,Peru,South America,South America,FIFA World Cup qualification,Win
22-08-1993,Bolivia,Venezuela,South America,South America,FIFA World Cup qualification,Win
22-08-1993,Brazil,Ecuador,South America,South America,FIFA World Cup qualification,Win
22-08-1993,Paraguay,Colombia,South America,South America,FIFA World Cup qualification,Draw
22-08-1993,Sweden,France,Europe,Europe,FIFA World Cup qualification,Draw
25-08-1993,Austria,Finland,Europe,Europe,FIFA World Cup qualification,Win
25-08-1993,Denmark,Lithuania,Europe,Europe,FIFA World Cup qualification,Win
29-08-1993,Argentina,Paraguay,South America,South America,FIFA World Cup qualification,Draw
29-08-1993,Brazil,Bolivia,South America,South America,FIFA World Cup qualification,Win
29-08-1993,Colombia,Peru,South America,South America,FIFA World Cup qualification,Win
29-08-1993,Uruguay,Venezuela,South America,South America,FIFA World Cup qualification,Win
05-09-1993,Argentina,Colombia,South America,South America,FIFA World Cup qualification,Lose
05-09-1993,Brazil,Venezuela,South America,South America,FIFA World Cup qualification,Win
05-09-1993,Ecuador,Uruguay,South America,South America,FIFA World Cup qualification,Lose
05-09-1993,Estonia,Portugal,Europe,Europe,FIFA World Cup qualification,Lose
05-09-1993,Peru,Paraguay,South America,South America,FIFA World Cup qualification,Draw
08-09-1993,Albania,Denmark,Europe,Europe,FIFA World Cup qualification,Lose
08-09-1993,Bulgaria,Sweden,Europe,Europe,FIFA World Cup qualification,Draw
08-09-1993,England,Poland,Europe,Europe,FIFA World Cup qualification,Win
08-09-1993,Faroe Islands,Romania,Europe,Europe,FIFA World Cup qualification,Lose
08-09-1993,Finland,France,Europe,Europe,FIFA World Cup qualification,Lose
08-09-1993,Hungary,Russia,Europe,Europe,FIFA World Cup qualification,Lose
08-09-1993,Iceland,Luxembourg,Europe,Europe,FIFA World Cup qualification,Win
08-09-1993,Republic of Ireland,Lithuania,Europe,Europe,FIFA World Cup qualification,Win
08-09-1993,Northern Ireland,Latvia,Europe,Europe,FIFA World Cup qualification,Win
08-09-1993,Scotland,Switzerland,Europe,Europe,FIFA World Cup qualification,Draw
12-09-1993,Uruguay,Bolivia,South America,South America,FIFA World Cup qualification,Win
12-09-1993,Venezuela,Ecuador,South America,South America,FIFA World Cup qualification,Win
19-09-1993,Brazil,Uruguay,South America,South America,FIFA World Cup qualification,Win
19-09-1993,Ecuador,Bolivia,South America,South America,FIFA World Cup qualification,Draw
22-09-1993,Albania,Spain,Europe,Europe,FIFA World Cup qualification,Lose
