date,home_team,away_team,home_team_continent,away_team_continent,tournament,home_team_result
17-06-1994,Germany,Bolivia,Europe,South America,FIFA World Cup,Win
17-06-1994,Spain,Korea Republic,Europe,Asia,FIFA World Cup,Draw
18-06-1994,Colombia,Romania,South America,Europe,FIFA World Cup,Lose
18-06-1994,Italy,Republic of Ireland,Europe,Europe,FIFA World Cup,Lose
18-06-1994,USA,Switzerland,North America,Europe,FIFA World Cup,Draw
19-06-1994,Belgium,Morocco,Europe,Africa,FIFA World Cup,Win
19-06-1994,Cameroon,Sweden,Africa,Europe,FIFA World Cup,Draw
19-06-1994,Norway,Mexico,Europe,North America,FIFA World Cup,Win
20-06-1994,Brazil,Russia,South America,Europe,FIFA World Cup,Win
20-06-1994,Netherlands,Saudi Arabia,Europe,Asia,FIFA World Cup,Win
21-06-1994,Argentina,Greece,South America,Europe,FIFA World Cup,Win
21-06-1994,Germany,Spain,Europe,Europe,FIFA World Cup,Draw
21-06-1994,Nigeria,Bulgaria,Africa,Europe,FIFA World Cup,Win
22-06-1994,Romania,Switzerland,Europe,Europe,FIFA World Cup,Lose
22-06-1994,USA,Colombia,North America,South America,FIFA World Cup,Win
23-06-1994,Italy,Norway,Europe,Europe,FIFA World Cup,Win
23-06-1994,Korea Republic,Bolivia,Asia,South America,FIFA World Cup,Draw
24-06-1994,Brazil,Cameroon,South America,Africa,FIFA World Cup,Win
24-06-1994,Mexico,Republic of Ireland,North America,Europe,FIFA World Cup,Win
24-06-1994,Sweden,Russia,Europe,Europe,FIFA World Cup,Win
25-06-1994,Argentina,Nigeria,South America,Africa,FIFA World Cup,Win
25-06-1994,Belgium,Netherlands,Europe,Europe,FIFA World Cup,Win
25-06-1994,Saudi Arabia,Morocco,Asia,Africa,FIFA World Cup,Win
26-06-1994,Bulgaria,Greece,Europe,Europe,FIFA World Cup,Win
26-06-1994,Switzerland,Colombia,Europe,South America,FIFA World Cup,Lose
26-06-1994,USA,Romania,North America,Europe,FIFA World Cup,Lose
27-06-1994,Bolivia,Spain,South America,Europe,FIFA World Cup,Lose
27-06-1994,Germany,Korea Republic,Europe,Asia,FIFA World Cup,Win
28-06-1994,Brazil,Sweden,South America,Europe,FIFA World Cup,Draw
28-06-1994,Republic of Ireland,Norway,Europe,Europe,FIFA World Cup,Draw
28-06-1994,Italy,Mexico,Europe,North America,FIFA World Cup,Draw
28-06-1994,Russia,Cameroon,Europe,Africa,FIFA World Cup,Win
29-06-1994,Belgium,Saudi Arabia,Europe,Asia,FIFA World Cup,Lose
29-06-1994,Morocco,Netherlands,Africa,Europe,FIFA World Cup,Lose
30-06-1994,Argentina,Bulgaria,South America,Europe,FIFA World Cup,Lose
30-06-1994,Greece,Nigeria,Europe,Africa,FIFA World Cup,Lose
02-07-1994,Germany,Belgium,Europe,Europe,FIFA World Cup,Win
02-07-1994,Spain,Switzerland,Europe,Europe,FIFA World Cup,Win
03-07-1994,Romania,Argentina,Europe,South America,FIFA World Cup,Win
03-07-1994,Saudi Arabia,Sweden,Asia,Europe,FIFA World Cup,Lose
04-07-1994,Netherlands,Republic of Ireland,Europe,Europe,FIFA World Cup,Win
04-07-1994,USA,Brazil,North America,South America,FIFA World Cup,Lose
05-07-1994,Mexico,Bulgaria,North America,Europe,FIFA World Cup,Lose
05-07-1994,Nigeria,Italy,Africa,Europe,FIFA World Cup,Lose
09-07-1994,Italy,Spain,Europe,Europe,FIFA World Cup,Win
09-07-1994,Netherlands,Brazil,Europe,South America,FIFA World Cup,Lose
10-07-1994,Bulgaria,Germany,Europe,Europe,FIFA World Cup,Win
10-07-1994,Romania,Sweden,Europe,Europe,FIFA World Cup,Lose
13-07-1994,Bulgaria,Italy,Europe,Europe,FIFA World Cup,Lose
13-07-1994,Sweden,Brazil,Europe,South America,FIFA World Cup,Lose
16-07-1994,Sweden,Bulgaria,Europe,Europe,FIFA World Cup,Win
17-07-1994,Brazil,Italy,South America,Europe,FIFA World Cup,Win
10-06-1998,Brazil,Scotland,South America,Europe,FIFA World Cup,Win
10-06-1998,Morocco,Norway,Africa,Europe,FIFA World Cup,Draw
11-06-1998,Cameroon,Austria,Africa,Europe,FIFA World Cup,Draw
11-06-1998,Italy,Chile,Europe,South America,FIFA World Cup,Draw
12-06-1998,France,South Africa,Europe,Africa,FIFA World Cup,Win
12-06-1998,Paraguay,Bulgaria,South America,Europe,FIFA World Cup,Draw
12-06-1998,Saudi Arabia,Denmark,Asia,Europe,FIFA World Cup,Lose
13-06-1998,Korea Republic,Mexico,Asia,North America,FIFA World Cup,Lose
13-06-1998,Netherlands,Belgium,Europe,Europe,FIFA World Cup,Draw
13-06-1998,Spain,Nigeria,Europe,Africa,FIFA World Cup,Lose
14-06-1998,Argentina,Japan,South America,Asia,FIFA World Cup,Win
14-06-1998,Jamaica,Croatia,North America,Europe,FIFA World Cup,Lose
15-06-1998,England,Tunisia,Europe,Africa,FIFA World Cup,Win
15-06-1998,Germany,USA,Europe,North America,FIFA World Cup,Win
15-06-1998,Romania,Colombia,Europe,South America,FIFA World Cup,Win
16-06-1998,Brazil,Morocco,South America,Africa,FIFA World Cup,Win
16-06-1998,Scotland,Norway,Europe,Europe,FIFA World Cup,Draw
17-06-1998,Chile,Austria,South America,Europe,FIFA World Cup,Draw
17-06-1998,Italy,Cameroon,Europe,Africa,FIFA World Cup,Win
18-06-1998,France,Saudi Arabia,Europe,Asia,FIFA World Cup,Win
18-06-1998,South Africa,Denmark,Africa,Europe,FIFA World Cup,Draw
19-06-1998,Nigeria,Bulgaria,Africa,Europe,FIFA World Cup,Win
19-06-1998,Spain,Paraguay,Europe,South America,FIFA World Cup,Draw
20-06-1998,Belgium,Mexico,Europe,North America,FIFA World Cup,Draw
20-06-1998,Japan,Croatia,Asia,Europe,FIFA World Cup,Lose
20-06-1998,Netherlands,Korea Republic,Europe,Asia,FIFA World Cup,Win
21-06-1998,Argentina,Jamaica,South America,North America,FIFA World Cup,Win
21-06-1998,USA,IR Iran,North America,Asia,FIFA World Cup,Lose
22-06-1998,Colombia,Tunisia,South America,Africa,FIFA World Cup,Win
22-06-1998,Romania,England,Europe,Europe,FIFA World Cup,Win
23-06-1998,Brazil,Norway,South America,Europe,FIFA World Cup,Lose
23-06-1998,Chile,Cameroon,South America,Africa,FIFA World Cup,Draw
23-06-1998,Italy,Austria,Europe,Europe,FIFA World Cup,Win
23-06-1998,Scotland,Morocco,Europe,Africa,FIFA World Cup,Lose
24-06-1998,France,Denmark,Europe,Europe,FIFA World Cup,Win
24-06-1998,Nigeria,Paraguay,Africa,South America,FIFA World Cup,Lose
24-06-1998,South Africa,Saudi Arabia,Africa,Asia,FIFA World Cup,Draw
24-06-1998,Spain,Bulgaria,Europe,Europe,FIFA World Cup,Win
25-06-1998,Belgium,Korea Republic,Europe,Asia,FIFA World Cup,Draw
25-06-1998,Germany,IR Iran,Europe,Asia,FIFA World Cup,Win
25-06-1998,Netherlands,Mexico,Europe,North America,FIFA World Cup,Draw
26-06-1998,Argentina,Croatia,South America,Europe,FIFA World Cup,Win
26-06-1998,Colombia,England,South America,Europe,FIFA World Cup,Lose
26-06-1998,Japan,Jamaica,Asia,North America,FIFA World Cup,Lose
26-06-1998,Romania,Tunisia,Europe,Africa,FIFA World Cup,Draw
27-06-1998,Brazil,Chile,South America,South America,FIFA World Cup,Win
27-06-1998,Italy,Norway,Europe,Europe,FIFA World Cup,Win
28-06-1998,France,Paraguay,Europe,South America,FIFA World Cup,Win
28-06-1998,Nigeria,Denmark,Africa,Europe,FIFA World Cup,Lose
29-06-1998,Germany,Mexico,Europe,North America,FIFA World Cup,Win
30-06-1998,Argentina,England,South America,Europe,FIFA World Cup,Win
30-06-1998,Romania,Croatia,Europe,Europe,FIFA World Cup,Lose
03-07-1998,Brazil,Denmark,South America,Europe,FIFA World Cup,Win
03-07-1998,France,Italy,Europe,Europe,FIFA World Cup,Win
04-07-1998,Germany,Croatia,Europe,Europe,FIFA World Cup,Lose
04-07-1998,Netherlands,Argentina,Europe,South America,FIFA World Cup,Win
07-07-1998,Brazil,Netherlands,South America,Europe,FIFA World Cup,Win
08-07-1998,France,Croatia,Europe,Europe,FIFA World Cup,Win
11-07-1998,Netherlands,Croatia,Europe,Europe,FIFA World Cup,Lose
12-07-1998,France,Brazil,Europe,South America,FIFA World Cup,Win
31-05-2002,France,Senegal,Europe,Africa,FIFA World Cup,Lose
01-06-2002,Germany,Saudi Arabia,Europe,Asia,FIFA World Cup,Win
01-06-2002,Republic of Ireland,Cameroon,Europe,Africa,FIFA World Cup,Draw
01-06-2002,Uruguay,Denmark,South America,Europe,FIFA World Cup,Lose
02-06-2002,Argentina,Nigeria,South America,Africa,FIFA World Cup,Win
02-06-2002,England,Sweden,Europe,Europe,FIFA World Cup,Draw
02-06-2002,Paraguay,South Africa,South America,Africa,FIFA World Cup,Draw
02-06-2002,Spain,Slovenia,Europe,Europe,FIFA World Cup,Win
03-06-2002,Brazil,Turkey,South America,Europe,FIFA World Cup,Win
03-06-2002,Croatia,Mexico,Europe,North America,FIFA World Cup,Lose
03-06-2002,Italy,Ecuador,Europe,South America,FIFA World Cup,Win
04-06-2002,China PR,Costa Rica,Asia,North America,FIFA World Cup,Lose
04-06-2002,Japan,Belgium,Asia,Europe,FIFA World Cup,Draw
04-06-2002,Korea Republic,Poland,Asia,Europe,FIFA World Cup,Win
05-06-2002,Germany,Republic of Ireland,Europe,Europe,FIFA World Cup,Draw
05-06-2002,Russia,Tunisia,Europe,Africa,FIFA World Cup,Win
05-06-2002,USA,Portugal,North America,Europe,FIFA World Cup,Win
06-06-2002,Cameroon,Saudi Arabia,Africa,Asia,FIFA World Cup,Win
06-06-2002,Denmark,Senegal,Europe,Africa,FIFA World Cup,Draw
06-06-2002,France,Uruguay,Europe,South America,FIFA World Cup,Draw
07-06-2002,Argentina,England,South America,Europe,FIFA World Cup,Lose
07-06-2002,Spain,Paraguay,Europe,South America,FIFA World Cup,Win
07-06-2002,Sweden,Nigeria,Europe,Africa,FIFA World Cup,Win
08-06-2002,Brazil,China PR,South America,Asia,FIFA World Cup,Win
08-06-2002,Italy,Croatia,Europe,Europe,FIFA World Cup,Lose
08-06-2002,South Africa,Slovenia,Africa,Europe,FIFA World Cup,Win
09-06-2002,Costa Rica,Turkey,North America,Europe,FIFA World Cup,Draw
09-06-2002,Japan,Russia,Asia,Europe,FIFA World Cup,Win
09-06-2002,Mexico,Ecuador,North America,South America,FIFA World Cup,Win
10-06-2002,Korea Republic,USA,Asia,North America,FIFA World Cup,Draw
10-06-2002,Portugal,Poland,Europe,Europe,FIFA World Cup,Win
10-06-2002,Tunisia,Belgium,Africa,Europe,FIFA World Cup,Draw
11-06-2002,Cameroon,Germany,Africa,Europe,FIFA World Cup,Lose
11-06-2002,Denmark,France,Europe,Europe,FIFA World Cup,Win
11-06-2002,Saudi Arabia,Republic of Ireland,Asia,Europe,FIFA World Cup,Lose
11-06-2002,Senegal,Uruguay,Africa,South America,FIFA World Cup,Draw
12-06-2002,Nigeria,England,Africa,Europe,FIFA World Cup,Draw
12-06-2002,Slovenia,Paraguay,Europe,South America,FIFA World Cup,Lose
12-06-2002,South Africa,Spain,Africa,Europe,FIFA World Cup,Lose
12-06-2002,Sweden,Argentina,Europe,South America,FIFA World Cup,Draw
13-06-2002,Costa Rica,Brazil,North America,South America,FIFA World Cup,Lose
13-06-2002,Ecuador,Croatia,South America,Europe,FIFA World Cup,Win
13-06-2002,Mexico,Italy,North America,Europe,FIFA World Cup,Draw
