date,home_team,away_team,home_team_continent,away_team_continent,tournament,home_team_result
1993-08-08,Bolivia,Uruguay,South America,South America,FIFA World Cup qualification,Win
1993-08-08,Ecuador,Venezuela,South America,South America,FIFA World Cup qualification,Win
1993-08-08,Paraguay,Argentina,South America,South America,FIFA World Cup qualification,Lose
1993-08-08,Peru,Colombia,South America,South America,FIFA World Cup qualification,Lose
1993-08-15,Australia,Canada,Oceania,North America,FIFA World Cup qualification,Win
1993-08-15,Bolivia,Ecuador,South America,South America,FIFA World Cup qualification,Win
1993-08-15,Colombia,Argentina,South America,South America,FIFA World Cup qualification,Win
1993-08-15,Uruguay,Brazil,South America,South America,FIFA World Cup qualification,Draw
1993-08-22,Argentina,Peru,South America,South America,FIFA World Cup qualification,Win
1993-08-22,Bolivia,Venezuela,South America,South America,FIFA World Cup qualification,Win
1993-08-22,Brazil,Ecuador,South America,South America,FIFA World Cup qualification,Win
1993-08-22,Paraguay,Colombia,South America,South America,FIFA World Cup qualification,Draw
1993-08-22,Sweden,France,Europe,Europe,FIFA World Cup qualification,Draw
1993-08-25,Austria,Finland,Europe,Europe,FIFA World Cup qualification,Win
1993-08-25,Denmark,Lithuania,Europe,Europe,FIFA World Cup qualification,Win
1993-08-29,Argentina,Paraguay,South America,South America,FIFA World Cup qualification,Draw
1993-08-29,Brazil,Bolivia,South America,South America,FIFA World Cup qualification,Win
1993-08-29,Colombia,Peru,South America,South America,FIFA World Cup qualification,Win
1993-08-29,Uruguay,Venezuela,South America,South America,FIFA World Cup qualification,Win
1993-09-05,Argentina,Colombia,South America,South America,FIFA World Cup qualification,Lose
1993-09-05,Brazil,Venezuela,South America,South America,FIFA World Cup qualification,Win
1993-09-05,Ecuador,Uruguay,South America,South America,FIFA World Cup qualification,Lose
1993-09-05,Estonia,Portugal,Europe,Europe,FIFA World Cup qualification,Lose
1993-09-05,Peru,Paraguay,South America,South America,FIFA World Cup qualification,Draw
1993-09-08,Albania,Denmark,Europe,Europe,FIFA World Cup qualification,Lose
1993-09-08,Bulgaria,Sweden,Europe,Europe,FIFA World Cup qualification,Draw
1993-09-08,England,Poland,Europe,Europe,FIFA World Cup qualification,Win
1993-09-08,Faroe Islands,Romania,Europe,Europe,FIFA World Cup qualification,Lose
1993-09-08,Finland,France,Europe,Europe,FIFA World Cup qualification,Lose
1993-09-08,Hungary,Russia,Europe,Europe,FIFA World Cup qualification,Lose
1993-09-08,Iceland,Luxembourg,Europe,Europe,FIFA World Cup qualification,Win
1993-09-08,Republic of Ireland,Lithuania,Europe,Europe,FIFA World Cup qualification,Win
1993-09-08,Northern Ireland,Latvia,Europe,Europe,FIFA World Cup qualification,Win
1993-09-08,Scotland,Switzerland,Europe,Europe,FIFA World Cup qualification,Draw
1993-09-12,Uruguay,Bolivia,South America,South America,FIFA World Cup qualification,Win
1993-09-12,Venezuela,Ecuador,South America,South America,FIFA World Cup qualification,Win
1993-09-19,Brazil,Uruguay,South America,South America,FIFA World Cup qualification,Win
1993-09-19,Ecuador,Bolivia,South America,South America,FIFA World Cup qualification,Draw
1993-09-22,Albania,Spain,Europe,Europe,FIFA World Cup qualification,Lose
1993-09-22,Estonia,Italy,Europe,Europe,FIFA World Cup qualification,Lose
1993-09-22,Norway,Poland,Europe,Europe,FIFA World Cup qualification,Win
1993-09-22,San Marino,Netherlands,Europe,Europe,FIFA World Cup qualification,Lose
1993-09-25,Nigeria,Côte d'Ivoire,Africa,Africa,FIFA World Cup qualification,Win
1993-09-26,Zambia,Senegal,Africa,Africa,FIFA World Cup qualification,Win
1993-09-26,Zimbabwe,Guinea,Africa,Africa,FIFA World Cup qualification,Win
1993-10-08,Algeria,Nigeria,Africa,Africa,FIFA World Cup qualification,Draw
1993-10-10,Cameroon,Zimbabwe,Africa,Africa,FIFA World Cup qualification,Win
1993-10-10,Morocco,Zambia,Africa,Africa,FIFA World Cup qualification,Win
1993-10-12,Luxembourg,Greece,Europe,Europe,FIFA World Cup qualification,Lose
1993-10-13,Bulgaria,Austria,Europe,Europe,FIFA World Cup qualification,Win
1993-10-13,Denmark,Northern Ireland,Europe,Europe,FIFA World Cup qualification,Win
