date,home_team,away_team,home_team_continent,away_team_continent,tournament,home_team_result
1993-08-08,Bolivia,Uruguay,South America,South America,FIFA World Cup qualification,Win
1993-08-08,Brazil,Mexico,South America,North America,Friendly,Draw
1993-08-08,Ecuador,Venezuela,South America,South America,FIFA World Cup qualification,Win
1993-08-08,Guinea,Sierra Leone,Africa,Africa,Friendly,Win
1993-08-08,Paraguay,Argentina,South America,South America,FIFA World Cup qualification,Lose
1993-08-08,Peru,Colombia,South America,South America,FIFA World Cup qualification,Lose
1993-08-08,Zimbabwe,Eswatini,Africa,Africa,Friendly,Win
1993-08-09,Guinea,Sierra Leone,Africa,Africa,Friendly,Win
1993-08-11,Faroe Islands,Norway,Europe,Europe,Friendly,Lose
1993-08-11,Sweden,Switzerland,Europe,Europe,Friendly,Lose
1993-08-15,Australia,Canada,Oceania,North America,FIFA World Cup qualification,Win
1993-08-15,Bolivia,Ecuador,South America,South America,FIFA World Cup qualification,Win
1993-08-15,Colombia,Argentina,South America,South America,FIFA World Cup qualification,Win
1993-08-15,Congo,Guinea,Africa,Africa,African Cup of Nations qualification,Draw
1993-08-15,Uruguay,Brazil,South America,South America,FIFA World Cup qualification,Draw
1993-08-22,Argentina,Peru,South America,South America,FIFA World Cup qualification,Win
1993-08-22,Bolivia,Venezuela,South America,South America,FIFA World Cup qualification,Win
1993-08-22,Brazil,Ecuador,South America,South America,FIFA World Cup qualification,Win
1993-08-22,Paraguay,Colombia,South America,South America,FIFA World Cup qualification,Draw
1993-08-22,Sweden,France,Europe,Europe,FIFA World Cup qualification,Draw
1993-08-25,Austria,Finland,Europe,Europe,FIFA World Cup qualification,Win
1993-08-25,Denmark,Lithuania,Europe,Europe,FIFA World Cup qualification,Win
1993-08-29,Argentina,Paraguay,South America,South America,FIFA World Cup qualification,Draw
1993-08-29,Brazil,Bolivia,South America,South America,FIFA World Cup qualification,Win
1993-08-29,Colombia,Peru,South America,South America,FIFA World Cup qualification,Win
1993-08-29,Uruguay,Venezuela,South America,South America,FIFA World Cup qualification,Win
